Symbol,Date,Volume,High,Low,Open,Close
$indu,07/19/06,0,11038.4800,10797.3900,10797.3900,11011.4200
$indu,07/20/06,0,11037.2800,10924.9800,11007.2600,10928.1000
$indu,07/21/06,0,10951.7700,10838.8500,10937.9400,10868.3800
$indu,07/24/06,0,11065.9500,10868.6200,10868.7000,11051.0500
$indu,07/25/06,0,11133.8100,10999.9000,11051.0500,11103.7100
$indu,07/26/06,0,11157.8200,11048.1600,11102.9100,11102.5100
$indu,07/27/06,0,11187.7600,11087.5500,11104.1900,11100.4300
$indu,07/28/06,0,11243.3100,11102.0300,11102.1100,11219.7000
$indu,07/31/06,0,11219.0600,11178.3200,11218.9000,11185.6800
$indu,08/01/06,0,11185.2800,11083.8600,11184.8000,11125.7300
$indu,08/02/06,0,11229.4600,11125.2500,11125.5700,11199.9300
$indu,08/03/06,0,11269.4900,11144.4600,11195.2800,11242.5900
$indu,08/04/06,0,11344.1700,11187.3600,11244.5900,11240.3500
$indu,08/07/06,0,11245.9500,11190.5600,11239.4700,11219.3800
$indu,08/08/06,0,11276.2900,11141.8200,11218.1800,11173.5900
$indu,08/09/06,0,11250.8400,11068.5700,11168.4700,11076.1800
$indu,08/10/06,0,11143.9800,11044.7200,11073.1400,11124.3700
$indu,08/11/06,0,11121.1600,11042.6400,11121.1600,11088.0300
$indu,08/14/06,0,11202.7300,11079.7800,11089.0700,11097.8700
$indu,08/15/06,0,11234.2700,11098.0300,11098.0300,11230.2600
$indu,08/16/06,0,11340.8000,11224.9100,11225.8700,11327.1200
$indu,08/17/06,0,11372.4200,11298.3800,11327.3600,11334.9600
$indu,08/18/06,0,11381.4700,11317.6700,11333.7600,11381.4700
$indu,08/21/06,0,11380.9900,11321.9900,11380.6700,11345.0500
$indu,08/22/06,0,11383.7100,11303.3400,11344.4100,11339.8400
$indu,08/23/06,0,11370.8200,11264.0400,11337.1200,11297.9000
$indu,08/24/06,0,11334.7200,11273.8900,11297.8200,11304.4600
$indu,08/25/06,0,11317.4300,11260.2800,11301.2200,11284.0500
$indu,08/28/06,0,11387.7900,11273.4900,11285.3300,11352.0100
$indu,08/29/06,0,11379.5500,11299.5800,11352.6500,11369.9400
$indu,08/30/06,0,11407.0800,11355.6900,11365.9800,11382.9100
$indu,08/31/06,0,11405.3200,11369.7800,11383.4700,11381.1500
$indu,09/01/06,0,11476.4800,11382.7500,11382.7500,11464.1500
$indu,09/05/06,0,11488.1700,11438.0600,11461.8300,11469.2800
$indu,09/06/06,0,11466.2300,11395.1500,11466.2300,11406.2000
$indu,09/07/06,0,11405.2400,11323.8400,11405.1600,11331.4400
$indu,09/08/06,0,11402.8400,11331.0400,11332.2400,11392.1100
$indu,09/11/06,0,11421.2500,11342.1700,11389.8700,11396.8400
$indu,09/12/06,0,11512.9800,11395.7100,11396.1200,11498.0900
$indu,09/13/06,0,11567.2500,11476.1600,11487.6900,11543.3200
$indu,09/14/06,0,11549.0800,11495.3700,11543.4000,11527.3900
$indu,09/15/06,0,11613.5100,11528.7500,11528.7500,11560.7700
$indu,09/18/06,0,11588.3800,11528.1100,11559.9700,11555.0000
$indu,09/19/06,0,11562.0500,11480.5600,11554.6000,11540.9100
$indu,09/20/06,0,11628.8800,11542.2000,11542.2800,11613.1900
$indu,09/21/06,0,11630.5600,11501.7700,11611.6700,11533.2300
$indu,09/22/06,0,11533.0700,11474.5600,11532.9100,11508.1000
$indu,09/25/06,0,11616.4800,11486.0000,11509.3000,11575.8100
$indu,09/26/06,0,11670.2700,11567.6500,11575.7300,11669.3900
$indu,09/27/06,0,11720.7700,11659.6200,11670.1900,11689.2400
